"seqname","seqdate","tissue","Name","Formula","ion.mode.seq","m.z","RT.seq","RT.library","RT.diff","mzCloud.Best.Match","mzCloud.Best.Match.Confidence","Annot..DeltaMass..ppm.","Calc..MW","CJ","Detected.in","confirmation","HMDB.ID"
"ldlr_serum_apr2022","2023-04","Serum","(+/-)-C75","C14H22O4","Posi",255.15809,3.858,NA,NA,67.3,8.4,-3.72,254.15086,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","Posi",345.1554,2.24,NA,NA,57,23.1,1.28,344.14756,"CJ1175",NA,NA,"HMDB0033066"
"ldlr_serum_apr2022","2023-04","Serum","(1-{[3,5-Bis(trifluoromethyl)phenyl]sulfonyl}piperidin-4-yl)(phenyl)methanone","C20H17F6NO3S","Posi",466.08513,8.602,NA,NA,50.2,22.5,-11.79,465.07785,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid","C18H34O5","Nega",329.23327,3.821,NA,NA,59.2,26.1,-0.23,330.24055,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid","C6H13NO3","Posi",148.09648,14.576,NA,NA,60.6,46.4,-2.42,147.08919,"CJ1180",NA,NA,"HMDB0029449"
"ldlr_serum_apr2022","2023-04","Serum","(2S)-2-[(1S,2S,4aS,7S,8S,8aS)-7-Acetamido-1-hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl]-N-(2-methoxybenzyl)propanamide","C25H38N2O4","Posi",431.29595,3.113,NA,NA,70.9,24.9,12.98,430.28874,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(2S)-N2-[(2S)-1-amino-3-cyclohexyl-1-oxo-2-propanyl]-N1-isopropyl-N4-phenyl-1,2,4-piperazinetricarboxamide","C25H38N6O4","Nega",485.28111,1.892,NA,NA,59,7.9,-14.52,486.28839,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(2S,5aS,8aR)-1-Methyl-6-(4-methylbenzyl)-2-[3-(4-morpholinyl)-3-oxopropyl]octahydropyrrolo[3,2-E][1,4]diazepin-5(2H)-one","C23H34N4O3","Posi",415.27796,2.453,NA,NA,53.5,22.8,18.17,414.27062,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(3E,5S,8R,11E,13S,16R)-5,13-dihydroxy-8,16-dimethyl-1,9-dioxacyclohexadeca-3,11-diene-2,10-dione","C16H24O6","Posi",313.1633,3.22,NA,NA,69.7,8.5,-4.09,312.15601,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(3R)-8-hydroxy-3-(4-hydroxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one","C15H12O4","Posi",257.07573,3.924,NA,NA,57.5,23.2,-19.93,256.06846,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(3β,9ξ)-3,14-Dihydroxycarda-5,20(22)-dienolide","C23H32O4","Posi",373.23041,2.619,NA,NA,71.3,41.4,-18.65,372.22312,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(4S)-4-[(3aS,4S,7aR)-4-Hydroxy-6-methyl-3-methylene-2-oxo-2,3,3a,4,7,7a-hexahydro-1-benzofuran-5-yl]pentyl acetate","C17H24O5","Posi",309.16878,2.387,NA,NA,68.5,39.4,-2.97,308.16146,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(4aS,5R,6S,8aS)-5-[(3E)-5-methoxy-3-methyl-5-oxopent-3-en-1-yl]-5,6,8a-trimethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid","C21H32O4","Posi",349.23547,2.346,NA,NA,60.7,55.9,-5.9,348.22801,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(5Z)-3-aminonon-5-enoic acid","C9H17NO2","Posi",172.13243,2.779,NA,NA,61.3,42.8,-4.53,171.12515,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(R)-Ketamine","C13H16ClNO","Posi",238.09857,8.395,NA,NA,79.4,72.1,-3.16,237.09129,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(S)-beta-Aminoisobutyric acid","C4H9NO2","Nega",102.05607,12.687,14.08,-1.393,86.1,9.3,0.21,103.06335,NA,"nega","STD","HMDB0002166"
"ldlr_serum_apr2022","2023-04","Serum","(S)-beta-Aminoisobutyric acid","C4H9NO2","Posi",104.07011,12.915,14.08,-1.165,70.4,8.5,-4.74,103.06284,NA,"nega","STD","HMDB0002166"
"ldlr_serum_apr2022","2023-04","Serum","(±)9-HpODE","C18H32O4","Nega",311.22173,8.618,NA,NA,79.6,54,-3.37,312.22901,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","(Â±)-Metalaxyl","C15H21NO4","Posi",280.15327,9.173,NA,NA,50.3,22.5,-3.8,279.146,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,10-Diamino-4,7-dioxadecane","C8H20N2O2","Posi",177.15862,13.978,NA,NA,53,22.7,-6.45,176.15134,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,3,4,10-Tetrahydro-9(2H)-acridinone","C13H13NO","Posi",200.1058,9.841,NA,NA,60.6,37.9,-6,199.09852,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,3-Benzodioxolylbutanamine (BDB)","C11H15NO2","Posi",194.11623,12.868,NA,NA,75.5,47.1,-6.89,193.10895,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,3-Diiminoisoindoline","C8H7N3","Nega",144.05706,6.972,NA,NA,55.9,7.8,2.37,145.06434,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,3-Dimethyluracil","C6H8N2O2","Posi",141.06561,11.879,10.4,1.479,84.7,9.2,-1.72,140.05834,"CJ0943","Posi","DDA","HMDB0002144"
"ldlr_serum_apr2022","2023-04","Serum","1,3-Phenylenediamine","C6H8N2","Posi",109.07586,6.68,NA,NA,76.8,48.2,-1.91,108.06854,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,4-Dimethylpiperazine","C6H14N2","Posi",115.12216,10.233,NA,NA,52.7,22.7,-7.16,114.11488,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1,5-Naphthalenediamine","C10H10N2","Posi",159.09133,3.157,9.37,-6.213,73.2,63,-2.19,158.08405,"CJ0944","Posi","DDA","HMDB0244231"
"ldlr_serum_apr2022","2023-04","Serum","1,8-Diazabicyclo [5.4.0]undec-7-ene","C9H16N2","Posi",153.13775,8.441,NA,NA,61.5,8.1,-5.73,152.13048,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-(3,4-dichlorophenyl)-4-(4-methoxybenzylidene)-3-methyl-4,5-dihydro-1H-pyrazol-5-one","C18H14Cl2N2O2","Posi",361.04881,9.51,NA,NA,54.5,41.7,-4.73,360.04153,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-(4,5-dihydro-1H-imidazol-2-yl)-3,5-dimethyl-1H-pyrazole hydrobromide","C8H12N4","Posi",165.11328,5.125,NA,NA,68.6,8.4,-1.24,164.10599,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-(4,7-Dimethylpyrazolo[5,1-c][1,2,4]triazin-3-yl)ethan-1-one","C9H10N4O","Nega",189.07798,13.415,NA,NA,72,67,-1.08,190.08525,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-(4-Fluorophenyl)-3-(2-methyl-1H-benzo[d]imidazol-1-yl)pyrrolidine-2,5-dione","C18H14FN3O2","Posi",324.11411,14.788,NA,NA,65.6,43.5,-0.66,323.10679,NA,NA,NA,NA
