CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ0001,Ciliatine,C2H8NO3P,15.16,Both,Sigma,HMDB0011747
CJ0002,"1,3-Diaminopropane",C3H10N2,,not detected in both,Sigma,HMDB0000002
CJ0003,10-Hydroxydecanoic acid,C10H20O3,2.88,Nega,Sigma,HMDB0244272
CJ0004,17alpha-Estradiol,C18H24O2,2.43,Both,Sigma,HMDB0000429
CJ0005,1-Aminocyclopropanecarboxylic acid,C4H7NO2,12.6,Both,Sigma,HMDB0036458
CJ0006,1-hydroxy-2-naphthoate,C11H8O3,1.99,Both,Sigma,
CJ0007,1-Methyladenosine,C11H15N5O4,5.08,Both,Sigma,HMDB0003331
CJ0008,1-Methylhistidine,C7H11N3O2,18.23,Both,Sigma,HMDB0000001
CJ0009,1-Methylnicotinamide,C7H9N2O,15.64,Posi,Sigma,HMDB0000699
CJ0010,1-Phenylethanol,C8H10O,2.51,Posi,Sigma,HMDB0032619
CJ0011,"2,3-Butanediol",C4H10O2,7.65,Posi,Sigma,HMDB0003156
CJ0012,"2,3-Diaminopropionic acid",C3H8N2O2,18.19,Both,Sigma,HMDB0002006
CJ0013,2-Pyrocatechuic acid,C7H6O4,2.4,Nega,Sigma,HMDB0000397
CJ0014,"2',4'-Dihydroxyacetophenone",C8H8O3,2.51,Both,Sigma,HMDB0029659
CJ0015,Lumazine,C6H4N4O2,4.64,Both,Sigma,HMDB0254198
CJ0016,Gentisic acid,C7H6O4,9.62,Nega,Sigma,HMDB0000152
CJ0017,Gentisic acid,C7H6O4,2.38,Nega,Sigma,HMDB0000152
CJ0018,"2,5-Dimethylpyrazine",C6H8N2,9.04,Posi,Sigma,HMDB0035289
CJ0019,"2,6-dihydroxypyridine",C5H5NO2,6.68,Both,Sigma,
CJ0020,25-Hydroxycholesterol,C27H46O2,4.22,Posi,Sigma,HMDB0006247
CJ0021,N-Acetyl-b-glucosaminylamine,C8H16N2O5,12.61,Both,Sigma,HMDB0001104
CJ0022,2-Aminoisobutyric acid,C4H9NO2,13.11,Both,Sigma,HMDB0001906
CJ0023,2-aminophenol,C6H7NO,2.6,Both,Sigma,
CJ0024,2-deoxy-d-glucose,C6H12O5,8.95,Both,Sigma,
CJ0025,(å±)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S,2.87,Both,Sigma,HMDB0037115
CJ0026,2-Hydroxybutyric acid,C4H8O3,4.62,Nega,Sigma,HMDB0000008
CJ0027,ortho-Hydroxyphenylacetic acid,C8H8O3,2.68,Nega,Sigma,HMDB0000669
CJ0028,2-Hydroxypyridine,C5H5NO,3.64,Both,Sigma,HMDB0013751
CJ0029,2-Keto-3-deoxy-D-gluconic acid,C6H10O6,9.82,Both,Sigma,HMDB0001353
CJ0030,2-Methoxyethanol,C3H8O2,,not detected in both,Sigma,HMDB0245203
CJ0031,(å±)-2-Methylbutanal,C5H10O,2.52,Posi,Sigma,HMDB0031526
CJ0032,2-Methylcitric acid,C7H710O7,,not detected in both,Sigma,HMDB0000379
CJ0033,2-Methylglutaric acid,C6H10O4,12.05,Nega,Sigma,HMDB0000422
CJ0034,Citraconic acid,C5H6O4,6.63,Nega,Sigma,HMDB0000634
CJ0035,2-Methylpropanal,C4H8O,2.55,Both,Sigma,HMDB0031243
CJ0036,2-Ketobutyric acid,C4H6O3,2.62,Posi,Sigma,HMDB0000005
CJ0037,2-Phosphoglyceric acid,C3H7O7P,14.88,Both,Sigma,HMDB0000362
CJ0038,Acrylic acid,C3H4O2,5.69,Nega,Sigma,HMDB0031647
CJ0039,Quinaldic acid,C10H7NO2,2.89,Both,Sigma,HMDB0000842
CJ0040,2-Undecanone,C11H22O,2.39,Posi,Sigma,HMDB0033713
