Name,Formula,Annot..Source..Predicted.Compositions,Annot..Source..mzCloud.Search,Annot..Source..MassList.Search,Annot..DeltaMass..ppm.,Calc..MW,m.z,RT..min.,X..mzCloud.Results,mzCloud.Best.Match,mzCloud.Best.Match.Confidence,mzCloud.Best.Sim..Match,Mass.List.Match..metabolites.list_230424_ForCD,MS2,Area..N_FA1_000m_ldl01.raw..F167.,Area..N_FA1_000m_ldl02.raw..F206.,Area..N_FA1_000m_ldl03.raw..F245.,Area..N_FA1_000m_ldl04.raw..F284.,Area..N_FA1_000m_ldl05.raw..F323.,Area..N_FA1_000m_ldl06.raw..F362.,Area..N_FA1_000m_ldl07.raw..F401.,Area..N_FA1_000m_ldl08.raw..F439.,Area..N_FA1_000m_ldl09.raw..F477.,Area..N_FA1_000m_ldl10.raw..F519.,Area..N_FA1_000m_ldl11.raw..F559.,Area..N_FA1_000m_ldl12.raw..F597.,Area..N_FA1_000m_ldl13.raw..F635.,Area..N_FA1_000m_ldl14.raw..F675.,Area..N_FA1_000m_ldl15.raw..F715.,Area..N_FA1_000m_ldl16.raw..F754.,Area..N_FA1_000m_ldl17.raw..F795.,Area..N_FA1_000m_ldl18.raw..F836.,Area..N_FA1_000m_ldl19.raw..F877.,Area..N_FA1_000m_ldl20.raw..F918.
4-Aminohippuric acid,C9 H10 N2 O3,Full match,Full match,No results,-0.11,194.06912,193.06184,8.013,1,86.3,50.3,NA,No matches found,DDA for preferred ion,432640315,614523252.6,540148682.4,613295006.7,178865641.9,1206446846,1003910106,563133291.1,751059902.8,1445279483,38385192.74,805514841.5,377676814.3,884936891.8,77035343.68,582295323.8,445963124.9,39919982.81,243521020.6,2492174.93
N'-Formylkynurenine,C11 H12 N2 O4,Full match,Invalid mass,Full match,0.61,236.07985,235.07257,8.111,1,NA,NA,62.6,Single match found,DDA for preferred ion,12607850.6,71815350.98,8009114.282,4697675.807,19837115.33,106258149.9,283045673.5,77475402.92,111395513.5,299316362,8538765.555,27409321.07,6470747.699,25694707.09,2812938.905,8985604.789,11312757.24,13201924.5,33855986.73,2015104.396
Vanilloylglycine,C10 H11 N O5,Full match,No results,Full match,-0.68,225.06357,224.05629,6.31,0,NA,NA,NA,Single match found,DDA for preferred ion,216207.2438,333897.1108,295911.9733,258197.7087,1862671.885,580766.2536,4483708.435,266034.5667,233067.1106,654505.2093,215969.6554,267427.6614,205104.2634,362992.0075,182761.066,2324387.932,309684.43,251681.5941,379013.4215,151860.9428
L-Lactic acid,C3 H6 O3,Full match,Partial match,Full match,-0.18,90.03168,89.0244,7.876,2,95.5,9.8,NA,Single match found,DDA for preferred ion,6573737402,7221175838,9764524577,7647924730,2107322543,6973846318,6049106065,7906179919,7520310476,5064605038,6316989323,10067492220,6629966506,12919443670,5106421236,10598551133,13922631120,3953923192,6570111341,1336930925
phenyl glucuronide isomer,C12 H14 O7,Full match,Invalid mass,Full match,1.23,270.07428,269.06701,7.893,2,NA,NA,59.2,Single match found,DDA for preferred ion,6402053.434,285256.5658,225391.647,188632.5512,370288.0343,16478206.26,624906.7437,3393343.905,185720.848,482539.5602,518745.9178,424241.5044,1079643.801,419170.6007,330399.9517,364236.1707,494595.2526,240432.7175,224823.3555,251459.6383
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,0.4,193.07397,192.06669,3.82,2,70.9,8.5,NA,Multiple matches found,DDA for preferred ion,123619021.9,47836087.45,181003276.5,119122279.1,10572225.34,53130940.99,110761216.4,140480181.5,120751637.9,113448483.8,27368227.47,35476597.97,31297204.64,31014213.29,25886495.45,47269088.27,36226960.76,76282991.16,12244022.29,18251754.85
Hypoxanthine,C5 H4 N4 O,Full match,Full match,Full match,1.01,136.03865,135.03137,8.087,2,61.6,45.8,NA,Multiple matches found,DDA for preferred ion,423737091.1,402398472.4,595012278.6,499066835.5,142920296.2,379107003.4,404982893.9,489583437.1,400036705.7,626733615.9,25282147.13,289437509.2,169101066.7,318892953.7,68119010.19,233883831.7,46610027.42,24513156.51,148386150.7,130787024.7
Creatinine,C4 H7 N3 O,Full match,No results,Full match,-1.24,113.05877,112.05149,8.193,0,NA,NA,NA,Single match found,DDA for preferred ion,44228167.19,40295593.08,54321138.64,60203.72807,14594219.33,36785880.18,53647687.75,64730922.1,45892679.06,58483878.42,29577285.4,124865007.1,93333950.01,109339594.7,41963310,59083734.01,41372421.33,23252619.2,76624377.74,72423754.87
2-O-Methylascorbic acid,C7 H10 O6,Full match,No results,Full match,0.29,190.04779,189.04052,8.234,0,NA,NA,NA,Single match found,DDA for preferred ion,18101144.44,10790975.95,7922718.496,15118845.82,184314.7949,2249671.701,1636383.054,16478940.38,19678651.15,25337683.1,12557392.9,21985608.88,10522619.4,18109454.56,9118241.635,24148239.08,30538043.94,19355389.35,8050804.419,42149407.93
Hippuric acid,C9 H9 N O3,Full match,Partial match,Full match,0.57,179.05835,178.05107,3.825,1,74.7,8.7,NA,Single match found,DDA for preferred ion,64413930.42,18165918.18,140896538,88288746.43,7444405.174,18293293.56,70058900.88,107187120.8,89249274.92,91730148.4,12143057.48,23303470.19,25261912.87,20623107.65,15646417.03,23280318.95,15979805.06,58706969.72,8902088.603,29958307.15
